Id,Genre 1,Genre 2,Genre 3,Genre 4,Popularity, Budget , Revenue 
628,Horror,Romance,,,11.970205,60000000.0,223664608.0
87729,Drama,Romance,,,1.596058,14000000.0,2474000.0
6280,Comedy,Family,Romance,,6.710215,60000000.0,37000000.0
11,Adventure,Action,Science,,42.149697,11000000.0,775398007.0
18183,Drama,Romance,,,4.126083,2000000.0,21665468.0
4476,Adventure,Drama,Romance,War,12.199047,30000000.0,160638883.0
28313,Drama,,,,7.698526,17000000.0,7603766.0
3036,Drama,Horror,Science,,14.287753,45000000.0,112006296.0
17402,Comedy,Romance,,,1.137266,6.0,5.0
1945,Drama,Thriller,,,5.930957,31000000.0,106683817.0
241,Crime,Thriller,Drama,,11.226856,34000000.0,50282766.0
6950,Action,Drama,Science,,13.676444,50000000.0,189859560.0
101,Thriller,Crime,Drama,,20.477329,16000000.0,45284974.0
63020,Comedy,Drama,Romance,,1.433544,11000000.0,2832826.0
680,Thriller,Crime,,,140.950236,8000000.0,213928762.0
25296,Comedy,Drama,,,1.638622,400000.0,152322.0
12106,Action,Western,,,7.54701,32000000.0,18552460.0
161495,Drama,Comedy,,,3.395867,22000000.0,12400000.0
3586,Drama,Comedy,,,6.259433,15000000.0,11300653.0
22586,Animation,,,,8.910462,35000000.0,9771658.0
2636,Action,Thriller,,,10.388183,45000000.0,170362582.0
2164,Action,Adventure,Science,,13.328924,55000000.0,196567262.0
11395,Fantasy,Drama,Comedy,Family,9.665424,22000000.0,189833357.0
278,Drama,Crime,,,51.645403,25000000.0,28341469.0
9067,Action,Comedy,Fantasy,Science,7.602087,25000000.0,4064495.0
193,Science,name:,name:,,8.105708,38000000.0,120000000.0
25066,Crime,Horror,Thriller,,2.86007,6000000.0,12000000.0
1587,Romance,Drama,,,10.3919,11000000.0,10032765.0
9271,Action,Crime,Science,,5.188399,30000000.0,24048000.0
2064,Comedy,Drama,Romance,,15.783615,17000000.0,182057016.0
236,Drama,Comedy,Romance,,5.254847,3000000.0,15119639.0
3049,Comedy,Mystery,,,11.247957,15000000.0,107217396.0
10497,Thriller,Drama,Romance,,11.298195,5000000.0,1862805.0
9331,Action,Drama,Thriller,,7.513245,62000000.0,215887717.0
10731,Drama,Thriller,Crime,Mystery,15.263829,45000000.0,117615211.0
9495,Fantasy,Action,Thriller,,15.799336,15000000.0,94000000.0
888,Fantasy,Comedy,Family,,15.019586,46000000.0,341631208.0
