Id,Vote Average, Budget 
408,6.9,1488423.0
10020,7.5,25000000.0
10895,6.9,2600000.0
114,7.0,14000000.0
576,7.7,6244087.0
275,7.7,7000000.0
8766,4.9,4000000.0
10112,7.1,4000000.0
1592,7.4,30000000.0
61752,5.7,12000000.0
10684,6.2,46000000.0
954,6.7,80000000.0
8840,6.4,57000000.0
10539,6.2,38000000.0
47502,4.8,13000000.0
2300,6.5,80000000.0
8069,5.7,9000000.0
40001,5.5,25000000.0
9103,5.3,30000000.0
12233,6.5,31000000.0
36355,5.3,25530000.0
11876,6.7,35000000.0
9100,6.3,15000000.0
40507,5.5,4800000.0
9802,6.9,75000000.0
664,6.1,92000000.0
10547,6.1,25000000.0
935,8.0,1800000.0
9826,4.7,45000000.0
9879,4.4,50000000.0
7095,5.9,45000000.0
627,7.8,4000000.0
602,6.7,75000000.0
9566,5.7,55000000.0
10545,6.8,100000000.0
9894,5.7,47000000.0
11543,6.7,27000000.0
9268,5.6,100000000.0
9327,5.4,54000000.0
11228,5.8,80000000.0
10779,6.7,30000000.0
26748,6.9,5000000.0
9294,6.2,32000000.0
11363,5.7,3500000.0
1645,7.0,40000000.0
18550,5.2,25000000.0
11962,5.0,13000000.0
2925,6.5,26000000.0
3595,6.4,80000000.0
12123,5.3,50000000.0
10830,6.9,36000000.0
3573,6.7,6000000.0
10546,5.2,13000000.0
9431,5.0,15000000.0
47907,6.8,6000000.0
10061,5.6,50000000.0
549,6.6,2962051.0
10478,5.9,45000000.0
66634,6.0,200000.0
238,8.5,6000000.0
11134,6.7,900000.0
88224,6.3,500000.0
9303,6.9,4500000.0
11015,5.8,60000000.0
9306,4.6,40000000.0
10723,5.4,25000000.0
10987,5.0,5000000.0
872,7.9,2540800.0
2769,6.9,2723903.0
164,7.6,2500000.0
426,8.0,2479000.0
567,8.2,1000000.0
3078,7.7,325000.0
213,7.8,4000000.0
284,8.1,3000000.0
239,8.0,2883848.0
4808,7.7,4000000.0
289,7.9,878000.0
963,7.8,375000.0
11113,7.4,17000000.0
6620,7.4,2238813.0
804,7.8,1500000.0
630,7.4,2777000.0
770,7.7,4000000.0
599,8.2,1752000.0
